date,stadium,race_no,combo,odds,target,local_3ren,st,course,kimarite,motor,boat,racer_rank,odds,wind_speed,is_headwind,is_tailwind,exh_time,turn_time,water_type,in_rate,national_win_rate,national_2nd_rate
2026-08-18,三国,2,1-4-3,46.6,0,29.77333333333333,0.16333333333333333,30.0,35.0,30.0,30.0,2.0,46.6,0.0,0,0,6.8,6.8,0.0,0.45,5.0,30.0
2026-08-18,三国,2,5-3-2,194.7,0,53.25666666666666,0.16333333333333333,30.0,35.0,30.0,30.0,2.0,194.7,0.0,0,0,6.8,6.8,0.0,0.45,5.0,30.0
2026-08-18,三国,2,1-4-5,52.1,0,28.736666666666668,0.17666666666666667,30.0,35.0,30.0,30.0,2.0,52.1,0.0,0,0,6.8,6.8,0.0,0.45,5.0,30.0
2026-08-18,三国,2,2-4-5,195.1,0,47.336666666666666,0.16666666666666666,30.0,35.0,30.0,30.0,2.0,195.1,0.0,0,0,6.8,6.8,0.0,0.45,5.0,30.0
2026-08-18,三国,2,3-4-5,183.5,0,46.583333333333336,0.17666666666666667,30.0,35.0,30.0,30.0,2.0,183.5,0.0,0,0,6.8,6.8,0.0,0.45,5.0,30.0
2026-08-18,三国,2,1-4-6,137.1,0,23.26666666666667,0.17333333333333334,30.0,35.0,30.0,30.0,2.0,137.1,0.0,0,0,6.8,6.8,0.0,0.45,5.0,30.0
2026-08-18,三国,2,1-5-2,25.5,0,35.41,0.16333333333333333,30.0,35.0,30.0,30.0,2.0,25.5,0.0,0,0,6.8,6.8,0.0,0.45,5.0,30.0
2026-08-18,三国,2,2-5-1,71.7,0,35.41,0.16333333333333333,30.0,35.0,30.0,30.0,2.0,71.7,0.0,0,0,6.8,6.8,0.0,0.45,5.0,30.0
2026-08-18,三国,2,3-5-1,89.7,0,34.656666666666666,0.17333333333333334,30.0,35.0,30.0,30.0,2.0,89.7,0.0,0,0,6.8,6.8,0.0,0.45,5.0,30.0
2026-08-18,三国,2,4-5-1,124.5,0,28.736666666666668,0.17666666666666667,30.0,35.0,30.0,30.0,2.0,124.5,0.0,0,0,6.8,6.8,0.0,0.45,5.0,30.0
2026-08-18,三国,2,5-4-1,147.2,0,28.736666666666668,0.17666666666666667,30.0,35.0,30.0,30.0,2.0,147.2,0.0,0,0,6.8,6.8,0.0,0.45,5.0,30.0
2026-08-18,三国,2,1-5-3,29.7,0,34.656666666666666,0.17333333333333334,30.0,35.0,30.0,30.0,2.0,29.7,0.0,0,0,6.8,6.8,0.0,0.45,5.0,30.0
2026-08-18,三国,2,2-5-3,94.8,0,53.25666666666666,0.16333333333333333,30.0,35.0,30.0,30.0,2.0,94.8,0.0,0,0,6.8,6.8,0.0,0.45,5.0,30.0
2026-08-18,三国,2,3-5-2,108.9,0,53.25666666666666,0.16333333333333333,30.0,35.0,30.0,30.0,2.0,108.9,0.0,0,0,6.8,6.8,0.0,0.45,5.0,30.0
2026-08-18,三国,2,4-5-2,167.0,0,47.336666666666666,0.16666666666666666,30.0,35.0,30.0,30.0,2.0,167.0,0.0,0,0,6.8,6.8,0.0,0.45,5.0,30.0
2026-08-18,三国,2,5-4-2,196.3,0,47.336666666666666,0.16666666666666666,30.0,35.0,30.0,30.0,2.0,196.3,0.0,0,0,6.8,6.8,0.0,0.45,5.0,30.0
2026-08-18,三国,2,1-5-4,56.4,0,28.736666666666668,0.17666666666666667,30.0,35.0,30.0,30.0,2.0,56.4,0.0,0,0,6.8,6.8,0.0,0.45,5.0,30.0
2026-08-18,三国,2,2-5-4,143.6,0,47.336666666666666,0.16666666666666666,30.0,35.0,30.0,30.0,2.0,143.6,0.0,0,0,6.8,6.8,0.0,0.45,5.0,30.0
2026-08-18,三国,2,3-5-4,182.4,0,46.583333333333336,0.17666666666666667,30.0,35.0,30.0,30.0,2.0,182.4,0.0,0,0,6.8,6.8,0.0,0.45,5.0,30.0
2026-08-18,三国,2,1-5-6,75.7,0,28.150000000000002,0.18333333333333335,30.0,35.0,30.0,30.0,2.0,75.7,0.0,0,0,6.8,6.8,0.0,0.45,5.0,30.0
2026-08-18,三国,2,4-5-6,172.9,0,40.076666666666675,0.18666666666666668,30.0,35.0,30.0,30.0,2.0,172.9,0.0,0,0,6.8,6.8,0.0,0.45,5.0,30.0
